PAA,SAX,MCB
0.003104654984033409,a,c
0.0030318603875667707,a,c
0.003008870428466743,a,b
0.003049713146866718,a,a
0.002994262729800047,b,c
0.0029406941595000687,b,b
0.002965301509133365,b,a
0.0029644470383667345,b,b
0.0030993957662000648,a,b
0.003056121853133384,c,a
0.0030268860084334058,a,a
0.003025390668966735,b,b
0.003052764910500067,c,c
0.003135365838033403,a,c
0.008028432302433294,a,c
0.0024944464475333524,a,a
0.0036920677194332554,a,a
0.0033484398689333306,a,b
0.002972981980133359,b,c
0.0033003643839000225,b,c
0.0036198834498333884,b,b
0.003316111530400046,b,b
0.0029323528140334063,a,b
0.003261200022900036,c,a
0.0033320518845999948,a,a
0.0030559694158000333,b,c
0.003019694149966689,c,c
0.0033633120498333157,a,c
0.003144348308666682,a,b
0.0021886284601666437,a,c
0.0014972435220666838,a,b
-0.007392640097933355,a,b
-0.0007620647078333217,b,c
0.006318827466533277,b,c
0.004530885351933323,b,a
0.002031626755999977,b,a
-0.006611114484366714,a,a
0.0037173152608333784,c,c
0.0029437258852666815,a,a
0.00129239977543331,b,c
-0.006864318911933289,c,c
0.007300191106066721,a,c
0.004314951531933356,a,c
-0.0029019472206999516,a,b
0.0008780618175333742,a,b
-0.0028292846331001626,a,b
-0.002796539282400178,b,a
-0.0028006489270001756,b,c
-0.002798858617166824,b,a
-0.0028219807184667665,b,a
-0.0028050536634334497,a,c
-0.002748708076133466,c,b
-0.0026992695737334442,a,c
-0.0027692463616334475,b,b
-0.002772145556333441,c,c
-0.0027583922909334346,a,c
-0.0027571003548001434,a,a
-0.002752370188566758,a,a
-0.0028668212716334643,a,c
-0.002799540166166758,a,b
1.2278387333337796e-05,b,a
0.0002720845169666658,b,b
0.00016831460313333237,b,c
0.0002809041223666645,b,a
0.0002740579941333311,a,a
0.00030083211920000063,c,b
0.0003401285620000028,a,b
0.0002741088566333333,b,c
0.00022654209783333327,c,b
0.00030039466936666696,a,a
0.0002987162008999973,a,b
0.0003017985105999995,a,b
0.0004263203933333359,a,c
0.0003513183961333335,a,a
0.00033415726873333405,b,a
0.003674255421433329,b,c
0.0036219073071333753,b,b
0.0027637429622667086,b,c
0.0035908611092333544,a,b
0.0036036276301333364,c,a
0.004145517788866635,a,b
0.004534260876799963,b,a
0.0042208961061999725,c,c
0.003966003160333332,a,c
0.0033894450637999857,a,b
0.003794423253566694,a,a
0.003188212087600079,a,a
0.003210835786166813,a,b
0.00375400755120003,b,c
0.004205810438700008,b,c
0.003570800825300004,b,c
0.011095927017066584,b,a
-0.0013068949993999854,a,a
0.0016584473204000313,c,c
0.002366617999766814,a,a
0.0008066303850333427,b,c
0.002446512884166755,c,c
0.0028931376258334784,a,c
0.0027520039461668092,a,b
0.002707478802933407,a,c
0.0028079223722334854,a,a
0.002591430543100119,a,a
0.0028426208024668214,b,a
0.0028787434398668404,b,b
0.0030089112092333762,b,b
0.0028175963952001277,b,b
-1.0576341491538075,a,b
0.3054580934599971,c,a
0.37395937369903254,a,a
0.06653970875253348,b,c
-0.2156669595038333,c,a
-0.049961962279434335,a,c
0.010640746893999974,a,a
-0.0012285555297666358,a,c
0.012482574533533264,a,b
0.00990480539669998,a,a
0.00918264783660005,b,c
0.008521891546266534,b,c
